date,year,month,region,category,revenue,gross_margin
2025-01-01,2025,Jan,North,Platform,42000,0.58
2025-01-01,2025,Jan,West,Services,28000,0.43
2025-01-01,2025,Jan,APAC,Hardware,18000,0.35
2025-02-01,2025,Feb,North,Platform,45000,0.59
2025-02-01,2025,Feb,West,Services,30000,0.44
2025-02-01,2025,Feb,APAC,Hardware,21000,0.36
2025-03-01,2025,Mar,North,Platform,52000,0.60
2025-03-01,2025,Mar,West,Services,33000,0.45
2025-03-01,2025,Mar,APAC,Hardware,23000,0.37
2025-04-01,2025,Apr,North,Platform,58000,0.61
2025-04-01,2025,Apr,West,Services,35000,0.45
2025-04-01,2025,Apr,APAC,Hardware,25000,0.37
2025-05-01,2025,May,North,Platform,64000,0.62
2025-05-01,2025,May,West,Services,37000,0.46
2025-05-01,2025,May,APAC,Hardware,26000,0.38
2025-06-01,2025,Jun,North,Platform,71000,0.63
2025-06-01,2025,Jun,West,Services,39000,0.46
2025-06-01,2025,Jun,APAC,Hardware,28000,0.38
2025-07-01,2025,Jul,North,Platform,78000,0.64
2025-07-01,2025,Jul,West,Services,42000,0.47
2025-07-01,2025,Jul,APAC,Hardware,30000,0.39
2025-08-01,2025,Aug,North,Platform,86000,0.64
2025-08-01,2025,Aug,West,Services,44000,0.47
2025-08-01,2025,Aug,APAC,Hardware,32000,0.39
2025-09-01,2025,Sep,North,Platform,92000,0.65
2025-09-01,2025,Sep,West,Services,46000,0.48
2025-09-01,2025,Sep,APAC,Hardware,34000,0.40
2025-10-01,2025,Oct,North,Platform,99000,0.65
2025-10-01,2025,Oct,West,Services,49000,0.48
2025-10-01,2025,Oct,APAC,Hardware,36000,0.40
2025-11-01,2025,Nov,North,Platform,108000,0.66
2025-11-01,2025,Nov,West,Services,52000,0.49
2025-11-01,2025,Nov,APAC,Hardware,39000,0.41
2025-12-01,2025,Dec,North,Platform,118000,0.67
2025-12-01,2025,Dec,West,Services,56000,0.50
2025-12-01,2025,Dec,APAC,Hardware,42000,0.42
